,Date,Time,Race,Gender,Body_Size,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Spectacles,Age_Range,Washer_No,Dryer_No,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets
871,01/01/2016,13:48:19,chinese,male,fat,yes,young,small,red,traditional,white,short_sleeve,green,short,blankets,yes,32,4,8,15,5,16,3.048439447,101.4900097,2
1872,01/01/2016,6:32:02,indian,female,fat,no,no_kids,big,black,casual,white,short_sleeve,green,short,blankets,no,51,5,9,21,2,11,3.09434435,101.6274003,3
3063,01/01/2016,7:43:04,indian,male,thin,yes,young,big,white,traditional,orange,long sleeve,blue,long,clothes,yes,27,6,9,47,2,8,3.086060546,101.5232507,1
2286,01/01/2016,13:48:10,chinese,female,fat,yes,toddler,big,red,traditional,grey,long sleeve,purple,long,blankets,yes,33,4,10,15,0,14,2.920208022,101.7141611,1
3068,01/01/2016,21:43:36,chinese,male,moderate,yes,toddler,big,black,traditional,grey,long sleeve,pink,short,blankets,no,20,3,7,26,0,9,3.084290077,101.4992968,1
2700,01/01/2016,6:32:22,indian,female,fat,yes,toddler,small,brown,casual,white,long sleeve,brown,short,clothes,no,39,6,8,13,3,14,2.929545039,101.7080012,1
1875,01/01/2016,23:45:16,malay,female,thin,no,no_kids,big,orange,casual,blue,long sleeve,black,long,clothes,yes,41,3,9,29,1,15,3.075287932,101.6984784,2
1416,01/01/2016,12:34:54,malay,female,fat,yes,toddler,big,white,formal,green,short_sleeve,white,short,clothes,no,55,3,9,43,1,14,3.079573908,101.3877887,1
3192,01/01/2016,13:42:58,malay,male,fat,yes,toddler,small,yellow,traditional,purple,long sleeve,blue,long,clothes,no,18,6,8,29,2,12,3.111020582,101.6849297,3
1381,01/01/2016,10:16:21,malay,male,fat,yes,young,small,brown,traditional,black,short_sleeve,orange,short,clothes,no,57,6,8,57,2,13,3.011299099,101.4392819,1
3675,01/01/2016,14:24:55,foreigner,male,fat,yes,toddler,big,brown,traditional,yellow,short_sleeve,black,short,blankets,no,47,4,10,16,3,8,2.932200514,101.6887817,2
3188,01/01/2016,22:38:54,foreigner,female,moderate,yes,toddler,big,green,casual,orange,short_sleeve,blue,long,blankets,yes,53,6,8,21,0,9,3.161860299,101.7874925,3
2327,01/01/2016,11:19:13,foreigner,female,thin,yes,toddler,small,yellow,traditional,white,short_sleeve,yellow,short,blankets,yes,38,3,7,16,2,14,2.967766774,101.6855821,1
2599,01/01/2016,13:22:04,foreigner,male,moderate,no,no_kids,big,black,traditional,green,long sleeve,black,short,blankets,yes,39,3,10,21,2,12,3.076163382,101.3819143,1
3983,01/01/2016,23:13:44,indian,female,thin,yes,baby,big,yellow,casual,green,long sleeve,orange,short,clothes,no,28,6,9,31,5,12,3.040413165,101.3844727,2
2381,01/01/2016,0:05:59,indian,male,moderate,yes,toddler,big,orange,traditional,purple,short_sleeve,yellow,short,blankets,yes,45,3,8,22,0,17,3.119261036,101.683889,2
3069,01/01/2016,21:04:44,indian,male,moderate,yes,toddler,small,blue,traditional,purple,short_sleeve,purple,short,blankets,no,47,6,10,37,0,8,3.071804008,101.5985183,3
3182,01/01/2016,2:11:15,foreigner,female,fat,yes,toddler,big,grey,casual,pink,long sleeve,red,long,clothes,no,27,4,7,36,5,7,3.081750879,101.6599224,2
1643,01/02/2016,7:54:05,indian,male,thin,no,no_kids,big,green,formal,red,short_sleeve,pink,short,blankets,no,50,5,7,35,2,13,3.15183094,101.6582506,3
2955,01/02/2016,10:32:25,indian,male,thin,yes,baby,small,grey,formal,yellow,short_sleeve,red,short,clothes,no,33,5,10,44,5,15,3.107584831,101.6823298,3
2966,01/02/2016,13:06:24,malay,female,moderate,yes,young,big,grey,formal,grey,long sleeve,green,short,blankets,yes,18,3,10,54,5,15,3.151095747,101.5588754,1
1650,01/02/2016,23:14:02,indian,male,thin,yes,baby,big,blue,casual,orange,long sleeve,yellow,long,clothes,yes,41,6,9,18,1,15,3.092687091,101.7058699,1
1637,01/02/2016,13:04:57,indian,female,fat,yes,baby,big,black,traditional,grey,long sleeve,blue,short,clothes,yes,27,4,10,33,2,7,3.106596254,101.668162,1
927,01/02/2016,8:28:09,malay,male,fat,yes,toddler,small,brown,traditional,grey,long sleeve,blue,short,clothes,no,41,6,7,30,1,15,3.107024877,101.5588852,2
2225,01/02/2016,23:56:46,chinese,female,moderate,no,no_kids,small,yellow,casual,blue,short_sleeve,green,short,clothes,yes,30,6,8,19,5,10,3.089774794,101.582552,3
2764,01/02/2016,14:40:20,indian,female,moderate,no,no_kids,big,pink,traditional,red,long sleeve,grey,short,clothes,yes,19,4,7,11,3,7,3.093033008,101.7020577,3
1606,01/02/2016,10:11:18,chinese,female,thin,yes,toddler,big,orange,casual,blue,short_sleeve,white,long,blankets,no,42,3,7,50,1,14,3.131965109,101.6881767,1
1585,01/02/2016,5:36:47,chinese,female,thin,yes,toddler,small,pink,casual,black,long sleeve,yellow,long,clothes,no,35,3,9,29,0,21,3.028037597,101.4330973,3
1072,01/02/2016,6:25:37,indian,female,fat,yes,toddler,big,purple,traditional,purple,short_sleeve,purple,short,blankets,yes,32,6,10,59,3,9,3.028052377,101.3884442,2
3502,01/02/2016,13:17:51,indian,male,fat,yes,toddler,big,brown,formal,red,short_sleeve,blue,short,blankets,yes,55,4,8,13,5,13,2.921581535,101.7055129,2
2378,01/02/2016,3:37:01,chinese,male,moderate,yes,young,small,purple,traditional,black,short_sleeve,blue,long,clothes,no,58,5,9,45,0,20,3.071590237,101.6445294,2
2373,01/02/2016,3:09:48,foreigner,male,moderate,no,no_kids,big,pink,traditional,purple,long sleeve,red,long,blankets,no,54,4,8,29,3,14,3.153796148,101.6446682,3
3488,01/02/2016,3:43:37,foreigner,female,moderate,yes,baby,small,red,casual,red,short_sleeve,red,long,blankets,yes,36,6,9,23,0,9,2.946974354,101.6392586,1
3590,01/02/2016,5:13:46,indian,male,thin,no,no_kids,big,brown,formal,red,short_sleeve,white,long,clothes,no,49,4,7,54,0,7,3.009562981,101.456333,3
3619,01/02/2016,4:03:43,chinese,male,moderate,yes,toddler,small,white,traditional,grey,long sleeve,blue,short,clothes,no,34,4,10,43,0,21,3.17012098,101.7317027,3
3868,01/02/2016,3:00:15,foreigner,male,moderate,yes,young,small,red,traditional,green,short_sleeve,grey,short,clothes,no,28,3,9,33,3,19,3.109373737,101.74951,3
3620,01/02/2016,4:13:43,foreigner,male,thin,yes,baby,small,green,traditional,white,short_sleeve,blue,short,clothes,no,57,3,10,47,4,9,3.018995682,101.4031408,2
1341,01/02/2016,15:01:58,foreigner,male,thin,yes,toddler,small,orange,casual,yellow,short_sleeve,blue,long,clothes,no,24,4,9,46,4,12,3.007161288,101.5497246,1
2472,01/02/2016,9:03:29,malay,female,moderate,yes,toddler,big,grey,traditional,yellow,short_sleeve,blue,long,clothes,no,40,6,8,15,0,17,2.970403509,101.6312264,1
3988,01/02/2016,13:07:12,chinese,male,fat,yes,toddler,big,blue,formal,pink,long sleeve,grey,long,clothes,yes,27,3,9,32,3,21,3.110244042,101.568727,3
2651,01/02/2016,21:09:57,chinese,male,thin,no,no_kids,big,black,formal,grey,long sleeve,yellow,long,clothes,yes,24,5,8,13,1,11,3.064764535,101.4469658,2
3220,01/02/2016,7:50:02,indian,female,thin,no,no_kids,small,green,formal,white,short_sleeve,blue,long,blankets,yes,37,5,10,24,5,7,3.145756577,101.5834498,2
2439,01/02/2016,22:06:28,foreigner,female,fat,yes,toddler,big,blue,formal,white,short_sleeve,blue,long,blankets,yes,49,5,7,43,1,8,3.084645163,101.641107,2
2693,01/02/2016,23:44:35,foreigner,female,thin,yes,toddler,small,yellow,traditional,brown,long sleeve,orange,long,blankets,no,44,4,10,19,5,14,2.941856911,101.7165176,1
3750,01/02/2016,9:50:36,chinese,male,fat,yes,young,small,brown,casual,orange,short_sleeve,orange,long,blankets,yes,45,5,7,30,5,9,2.907732584,101.6553515,2
3990,01/02/2016,6:12:13,malay,female,thin,yes,toddler,big,orange,formal,yellow,short_sleeve,black,long,blankets,yes,37,6,10,25,1,7,3.103275202,101.707898,2
3262,01/02/2016,8:50:42,malay,female,fat,yes,toddler,big,black,casual,yellow,short_sleeve,pink,long,blankets,yes,51,5,10,12,3,20,2.944608638,101.6939007,2
2429,01/02/2016,1:40:14,chinese,female,thin,yes,young,big,purple,casual,white,long sleeve,blue,long,clothes,no,33,5,8,60,4,8,3.079624296,101.6675996,2
2998,01/02/2016,12:32:09,indian,male,fat,yes,baby,small,green,traditional,orange,long sleeve,black,short,clothes,no,25,4,10,47,2,11,3.187146305,101.7281931,3
2996,01/02/2016,23:23:24,chinese,female,thin,yes,toddler,big,yellow,casual,black,long sleeve,white,long,blankets,no,21,6,10,24,0,11,3.115427066,101.7552716,3
3866,01/02/2016,1:50:32,malay,female,moderate,yes,young,big,green,casual,black,short_sleeve,pink,long,blankets,yes,23,5,7,15,5,15,3.060966798,101.3939886,3
3199,01/02/2016,15:26:21,chinese,female,thin,yes,toddler,big,red,traditional,red,long sleeve,black,short,blankets,yes,24,4,8,40,1,7,3.12824848,101.7016376,3
1435,01/02/2016,4:37:51,chinese,male,moderate,no,no_kids,big,white,formal,blue,long sleeve,orange,long,blankets,no,19,3,10,18,5,20,3.089488964,101.5149842,1
3473,01/03/2016,10:02:21,malay,male,fat,yes,young,small,green,casual,grey,long sleeve,green,short,clothes,yes,32,3,10,46,2,15,2.903999468,101.6468071,3
1549,01/03/2016,11:46:37,foreigner,male,thin,no,no_kids,small,white,casual,black,short_sleeve,brown,short,clothes,no,50,6,8,24,0,15,3.007521979,101.3977013,3
1115,01/03/2016,16:47:08,foreigner,male,fat,yes,baby,big,brown,casual,orange,long sleeve,blue,short,blankets,no,41,3,10,20,4,17,3.055057492,101.596806,2
1131,01/03/2016,6:52:00,indian,male,fat,yes,young,big,grey,casual,red,short_sleeve,blue,short,blankets,no,42,6,7,38,1,11,3.137071918,101.7066716,2
3122,01/03/2016,5:25:46,malay,male,thin,yes,young,small,white,traditional,red,short_sleeve,purple,short,blankets,yes,30,4,9,29,4,19,3.141630962,101.6270155,2
3865,01/03/2016,1:36:03,malay,female,thin,yes,toddler,small,orange,traditional,purple,short_sleeve,black,short,clothes,yes,28,5,7,22,1,12,3.169360999,101.7299437,3
2571,01/03/2016,13:18:18,malay,male,moderate,yes,toddler,small,red,formal,black,short_sleeve,grey,long,blankets,no,41,4,10,28,0,18,3.123080845,101.6247687,1
1078,01/03/2016,22:26:34,foreigner,female,thin,yes,young,small,brown,formal,black,short_sleeve,blue,short,clothes,no,37,6,10,27,1,21,2.930503683,101.6346431,1
3219,01/03/2016,13:14:44,indian,female,thin,yes,baby,small,purple,casual,blue,short_sleeve,orange,long,blankets,yes,34,6,9,13,3,17,3.101513682,101.6448519,1
1652,01/03/2016,6:56:46,malay,female,moderate,no,no_kids,big,yellow,formal,pink,long sleeve,blue,long,blankets,yes,49,5,10,58,1,16,3.112224493,101.6878428,3
3358,01/03/2016,11:35:27,indian,female,thin,no,no_kids,small,white,formal,green,long sleeve,black,short,clothes,yes,29,3,9,59,0,8,3.133323332,101.7352654,1
3356,01/03/2016,12:13:24,chinese,male,moderate,yes,toddler,big,purple,formal,brown,short_sleeve,green,long,clothes,yes,52,6,9,38,1,12,3.174467224,101.6299577,1
2486,01/03/2016,7:02:53,malay,male,moderate,no,no_kids,big,brown,traditional,pink,long sleeve,yellow,long,blankets,yes,39,3,9,51,5,12,3.109718599,101.7428891,2
3746,01/03/2016,7:02:30,indian,female,thin,yes,toddler,big,green,traditional,green,long sleeve,blue,short,blankets,no,54,3,8,16,4,10,2.945465165,101.7045463,2
3688,01/03/2016,7:39:11,chinese,male,thin,yes,baby,small,grey,casual,pink,long sleeve,red,long,clothes,yes,52,6,10,36,1,11,2.939444719,101.6347073,3
2939,01/03/2016,0:22:45,foreigner,female,moderate,yes,toddler,big,yellow,casual,red,short_sleeve,green,short,clothes,no,48,3,8,47,4,7,3.110045201,101.7061017,3
880,01/03/2016,4:18:29,chinese,female,fat,yes,young,small,red,formal,green,short_sleeve,blue,short,clothes,no,59,5,9,50,4,18,3.072650724,101.4739652,3
2984,01/03/2016,21:35:43,malay,female,thin,yes,young,small,brown,traditional,orange,long sleeve,blue,long,clothes,no,50,5,8,12,0,17,3.12186077,101.6411195,1
3704,01/03/2016,8:00:20,foreigner,female,moderate,yes,baby,big,green,traditional,grey,long sleeve,black,short,blankets,no,37,5,10,39,3,21,2.946010678,101.6409426,1
1096,01/03/2016,4:48:12,indian,male,moderate,yes,young,small,purple,formal,white,long sleeve,orange,long,clothes,no,40,3,8,43,1,18,3.098767393,101.6468172,3
2444,01/03/2016,11:26:47,foreigner,female,moderate,yes,toddler,big,red,casual,pink,short_sleeve,green,long,blankets,no,51,3,9,32,2,21,3.094361361,101.4935477,3
1254,01/03/2016,2:48:24,foreigner,male,moderate,yes,baby,small,yellow,casual,purple,short_sleeve,blue,short,clothes,yes,60,3,7,56,5,15,2.992084544,101.4098426,3
1446,01/03/2016,13:01:54,malay,male,fat,yes,young,big,orange,traditional,black,long sleeve,blue,long,blankets,yes,36,6,7,20,1,10,3.097470171,101.6171949,2
1298,01/03/2016,11:45:55,malay,female,fat,no,no_kids,big,green,casual,black,short_sleeve,purple,long,clothes,yes,19,4,9,52,1,13,3.019674981,101.4336028,3
2702,01/03/2016,23:55:36,foreigner,female,thin,yes,toddler,big,white,formal,grey,long sleeve,red,long,blankets,no,28,4,9,16,5,21,2.919622323,101.7184368,1
2319,01/03/2016,12:38:29,foreigner,male,thin,yes,toddler,small,yellow,casual,grey,long sleeve,black,long,blankets,yes,53,5,9,15,2,19,2.934433738,101.7258593,1
2697,01/03/2016,20:04:45,indian,female,fat,yes,young,small,green,formal,yellow,long sleeve,orange,long,blankets,no,40,4,9,36,2,14,2.949461681,101.729489,2
3618,01/03/2016,23:57:59,chinese,female,fat,yes,toddler,small,green,formal,grey,long sleeve,grey,long,blankets,yes,59,4,8,28,4,9,3.138866325,101.6746886,1
2338,01/03/2016,2:46:53,foreigner,male,thin,no,no_kids,small,white,traditional,pink,long sleeve,red,long,blankets,yes,33,5,9,39,0,9,2.957245277,101.6766783,1
2642,01/03/2016,21:50:37,indian,female,moderate,no,no_kids,small,red,formal,white,long sleeve,blue,short,blankets,yes,23,6,7,15,0,21,3.072304975,101.3837955,3
3623,01/03/2016,2:43:36,chinese,male,thin,yes,baby,small,red,formal,blue,short_sleeve,yellow,long,clothes,yes,53,6,7,49,3,16,3.128303367,101.6737789,2
3910,01/03/2016,10:35:18,indian,male,fat,yes,baby,big,orange,casual,white,long sleeve,green,long,blankets,no,25,4,10,25,3,13,3.125618155,101.6077436,2
1332,01/03/2016,16:25:52,malay,male,fat,yes,toddler,big,red,traditional,blue,short_sleeve,green,long,clothes,no,48,6,7,50,4,12,3.142940527,101.600874,2
2330,01/03/2016,21:09:48,indian,male,thin,yes,baby,small,green,traditional,yellow,long sleeve,green,short,clothes,no,45,3,7,26,2,16,2.919387484,101.6704071,2
3545,01/03/2016,14:14:46,chinese,female,thin,yes,toddler,big,black,traditional,white,short_sleeve,blue,short,blankets,no,33,3,7,17,2,18,2.929746815,101.7307794,2
1380,01/03/2016,5:15:14,malay,male,thin,yes,toddler,small,pink,casual,red,long sleeve,blue,short,blankets,yes,52,6,7,12,5,16,3.126007666,101.6560907,3
1174,01/03/2016,17:02:04,chinese,female,moderate,yes,toddler,small,purple,casual,blue,long sleeve,orange,long,blankets,no,33,4,10,44,5,9,3.067119244,101.4801556,2
1262,01/03/2016,12:19:04,malay,female,thin,yes,toddler,big,brown,casual,purple,short_sleeve,blue,long,blankets,no,34,3,9,57,0,12,3.078853421,101.7035869,3
3959,01/03/2016,0:15:17,foreigner,male,fat,no,no_kids,big,pink,casual,red,long sleeve,blue,long,clothes,yes,42,4,7,60,5,9,3.144126236,101.7212736,1
2735,01/03/2016,9:57:27,chinese,female,thin,yes,toddler,small,pink,traditional,purple,long sleeve,green,short,clothes,yes,48,4,7,16,4,9,2.960326677,101.6821655,3
1305,01/03/2016,6:57:18,malay,female,fat,yes,young,big,white,casual,green,short_sleeve,blue,short,blankets,no,23,3,7,40,4,16,3.084673002,101.6598279,3
1913,01/03/2016,7:28:24,chinese,female,thin,yes,baby,big,orange,traditional,red,short_sleeve,pink,short,clothes,yes,18,4,9,34,5,9,3.124192494,101.652617,3
2361,01/03/2016,20:57:53,indian,female,thin,yes,young,small,brown,traditional,blue,short_sleeve,blue,short,clothes,yes,43,4,9,30,5,18,3.100746664,101.5625717,1
2588,01/03/2016,20:47:18,indian,female,moderate,yes,baby,small,brown,casual,blue,long sleeve,grey,short,clothes,yes,44,3,7,36,3,17,2.966717465,101.6636236,3
2841,01/03/2016,15:00:13,indian,female,fat,yes,toddler,big,white,casual,black,long sleeve,red,short,blankets,no,21,6,7,57,1,14,3.158944903,101.7409697,2
222,01/11/2015,6:44:39,malay,female,moderate,no,no_kids,big,white,casual,black,short_sleeve,blue,long,clothes,no,40,5,9,48,3,11,2.936138329,101.7184584,1
223,01/11/2015,7:15:46,malay,female,thin,no,no_kids,big,blue,casual,black,long sleeve,green,long,clothes,yes,33,3,10,32,5,9,2.937364649,101.6856716,1
224,01/11/2015,7:49:27,indian,male,thin,no,no_kids,big,yellow,casual,red,short_sleeve,purple,short,clothes,no,50,5,7,26,4,16,2.94598195,101.6560701,1
225,01/11/2015,8:07:53,malay,male,fat,yes,young,big,black,casual,orange,short_sleeve,blue,long,clothes,no,52,5,8,11,2,9,2.960788038,101.6495573,1
950,01/12/2015,13:14:41,foreigner,male,fat,yes,young,big,white,traditional,white,short_sleeve,blue,short,blankets,no,18,5,10,17,5,10,3.015238889,101.5164518,3
2638,01/12/2015,19:10:41,indian,male,thin,yes,toddler,small,blue,traditional,pink,short_sleeve,green,long,clothes,no,51,5,9,41,2,16,3.140244033,101.5635012,1
3002,01/12/2015,9:13:07,chinese,female,thin,no,no_kids,big,orange,casual,pink,short_sleeve,white,short,blankets,yes,38,6,9,36,5,20,3.148237532,101.7626611,2
3638,01/12/2015,18:00:34,indian,female,fat,yes,baby,big,green,traditional,red,short_sleeve,purple,long,clothes,yes,60,5,10,51,5,21,3.129729713,101.6626676,1
3747,01/12/2015,11:39:52,indian,male,moderate,yes,young,small,blue,formal,pink,short_sleeve,purple,long,blankets,yes,54,4,8,47,2,12,2.947388329,101.70827,2
1314,01/12/2015,12:48:51,indian,male,moderate,yes,toddler,small,green,casual,grey,short_sleeve,pink,long,blankets,yes,60,6,8,39,0,21,3.084108912,101.553301,1
3637,01/12/2015,21:30:33,foreigner,female,moderate,yes,toddler,small,black,formal,red,short_sleeve,black,short,clothes,no,50,5,9,26,2,13,3.004740464,101.4081037,1
860,01/12/2015,8:21:29,malay,female,moderate,yes,young,small,white,formal,black,short_sleeve,grey,long,clothes,yes,24,4,10,20,0,14,3.087515338,101.6524171,3
920,01/12/2015,11:14:05,foreigner,male,moderate,yes,baby,small,brown,traditional,pink,long sleeve,black,short,clothes,yes,35,5,10,39,0,10,3.025461492,101.387191,1
1545,01/12/2015,22:13:38,chinese,male,thin,yes,young,small,pink,traditional,green,long sleeve,blue,short,blankets,no,49,3,9,59,3,19,3.176824387,101.7211209,1
910,01/12/2015,5:41:33,malay,female,thin,yes,baby,small,white,formal,purple,short_sleeve,brown,short,clothes,no,55,3,9,17,1,13,3.172308146,101.739655,1
2719,01/12/2015,17:13:25,malay,female,moderate,yes,young,big,blue,traditional,red,short_sleeve,black,long,blankets,yes,39,5,8,52,1,18,2.92958325,101.7446153,3
861,01/12/2015,17:18:19,malay,male,thin,no,no_kids,small,purple,formal,white,short_sleeve,blue,short,clothes,no,24,3,10,41,2,7,3.182700916,101.753718,2
1708,01/12/2015,6:26:55,indian,male,thin,no,no_kids,small,brown,formal,blue,long sleeve,red,long,blankets,yes,20,3,9,45,0,13,3.100806604,101.7002647,3
3783,01/12/2015,17:59:04,chinese,female,thin,yes,toddler,big,white,formal,blue,long sleeve,red,short,clothes,no,47,5,7,23,4,18,2.959312907,101.6969724,1
881,01/12/2015,6:51:30,malay,male,moderate,yes,toddler,small,red,traditional,green,long sleeve,white,long,blankets,no,35,4,7,51,1,10,3.16725728,101.734202,1
3634,01/12/2015,4:10:44,foreigner,female,thin,yes,toddler,small,purple,casual,white,short_sleeve,purple,short,blankets,no,41,5,7,31,5,9,3.08376801,101.4808737,2
1273,01/12/2015,15:32:58,malay,female,thin,yes,young,small,orange,traditional,black,long sleeve,blue,long,blankets,no,47,4,9,44,3,7,3.078210594,101.649841,3
3247,01/12/2015,23:02:22,chinese,male,thin,yes,baby,big,black,formal,purple,long sleeve,red,long,clothes,yes,60,4,10,32,5,9,3.141552641,101.752244,2
1303,01/12/2015,2:06:12,malay,male,moderate,yes,baby,big,purple,casual,brown,short_sleeve,green,long,blankets,yes,55,3,7,36,3,13,3.115964584,101.5684501,2
2394,01/12/2015,13:41:30,malay,female,thin,yes,young,small,pink,formal,grey,long sleeve,purple,short,blankets,no,43,6,9,51,5,8,3.154355122,101.6224425,1
1161,01/12/2015,2:06:59,indian,male,thin,no,no_kids,small,purple,formal,purple,long sleeve,blue,short,clothes,yes,23,3,9,24,5,9,3.060429971,101.5957214,2
3439,01/12/2015,0:19:54,malay,female,fat,yes,toddler,small,white,traditional,red,short_sleeve,white,short,clothes,yes,38,4,10,39,3,15,3.115347805,101.717299,2
3895,01/12/2015,21:53:59,chinese,male,thin,yes,baby,small,white,casual,brown,long sleeve,blue,short,blankets,yes,28,5,7,16,1,15,3.137307791,101.6102003,1
1557,01/12/2015,22:05:23,foreigner,male,moderate,yes,young,big,green,casual,black,short_sleeve,blue,long,clothes,no,19,4,7,38,4,7,3.149428597,101.7016328,2
3715,01/12/2015,14:14:52,chinese,female,thin,no,no_kids,small,pink,traditional,black,long sleeve,black,long,blankets,yes,29,3,7,37,2,19,2.929541327,101.7324927,2
2834,01/12/2015,17:08:14,indian,male,moderate,yes,toddler,big,grey,traditional,grey,short_sleeve,black,long,clothes,no,40,5,8,41,1,14,3.164253917,101.6092775,1
3508,01/12/2015,23:12:24,indian,male,moderate,yes,baby,small,white,traditional,orange,long sleeve,yellow,long,blankets,yes,51,4,8,36,1,19,2.9266717,101.7193002,1
3049,01/12/2015,5:59:00,indian,female,fat,no,no_kids,big,red,formal,grey,short_sleeve,black,long,blankets,no,37,6,9,57,0,11,3.132453181,101.68694,1
2026,01/12/2015,11:36:11,foreigner,male,thin,no,no_kids,big,brown,formal,yellow,long sleeve,purple,long,clothes,no,30,6,8,18,5,7,3.026393089,101.3822234,2
2838,01/12/2015,20:58:06,malay,female,moderate,yes,toddler,big,orange,formal,orange,short_sleeve,purple,short,blankets,yes,56,3,9,50,3,12,3.088185304,101.7645636,2
1066,01/12/2015,23:38:53,foreigner,female,thin,no,no_kids,small,grey,traditional,yellow,long sleeve,green,long,blankets,yes,44,6,8,60,5,18,3.0695702,101.5938561,2
3557,01/12/2015,18:59:54,malay,male,moderate,no,no_kids,big,white,casual,black,long sleeve,black,short,blankets,yes,49,6,10,57,5,12,2.920194801,101.7254579,2
3148,01/12/2015,22:04:14,foreigner,male,thin,no,no_kids,big,green,formal,yellow,short_sleeve,blue,long,clothes,no,45,3,7,59,1,12,2.959083134,101.6477126,1
2009,01/12/2015,16:48:47,malay,female,fat,yes,toddler,big,red,formal,orange,short_sleeve,blue,long,blankets,yes,52,4,10,45,4,11,3.09596922,101.6584199,1
3109,01/12/2015,20:47:25,foreigner,male,thin,no,no_kids,small,grey,casual,brown,long sleeve,orange,short,blankets,no,47,5,9,32,1,15,3.137431539,101.7428236,3
1240,01/12/2015,10:53:49,chinese,female,fat,yes,toddler,big,red,formal,blue,short_sleeve,red,short,blankets,yes,33,6,8,50,1,21,3.051654057,101.6179497,2
2368,01/12/2015,1:08:29,indian,male,fat,no,no_kids,big,black,formal,grey,short_sleeve,white,long,blankets,no,22,4,10,52,5,11,3.035391549,101.4675108,1
1361,01/12/2015,4:00:58,chinese,male,fat,yes,toddler,big,white,traditional,yellow,long sleeve,blue,long,blankets,no,57,3,7,28,0,21,3.110617552,101.6873251,1
1626,01/12/2015,3:07:43,foreigner,male,thin,yes,toddler,small,brown,casual,black,short_sleeve,grey,short,clothes,yes,51,3,8,59,3,10,3.112968958,101.7105886,1
3166,01/12/2015,8:17:10,malay,female,thin,yes,baby,big,brown,traditional,green,long sleeve,yellow,short,clothes,no,28,4,7,31,5,13,3.116350812,101.6830017,1
1120,01/12/2015,2:35:01,malay,female,moderate,yes,toddler,big,yellow,formal,purple,short_sleeve,blue,short,clothes,no,29,5,10,60,5,18,3.010518973,101.4623135,3
1985,02/01/2016,17:16:16,indian,female,thin,yes,toddler,small,yellow,casual,purple,short_sleeve,pink,short,clothes,yes,49,6,8,20,5,19,3.075874069,101.6407678,1
2289,02/01/2016,17:34:35,malay,male,fat,yes,young,big,blue,casual,black,long sleeve,blue,short,clothes,yes,32,3,9,15,2,7,2.941112411,101.7132003,1
2265,02/01/2016,15:58:41,foreigner,female,thin,yes,toddler,big,blue,formal,red,short_sleeve,grey,short,clothes,yes,56,6,9,47,5,7,3.143644562,101.7607561,2
3738,02/01/2016,20:38:41,foreigner,male,moderate,yes,toddler,big,grey,traditional,yellow,short_sleeve,brown,short,clothes,yes,40,4,10,28,4,19,2.918240626,101.7306938,2
2081,02/01/2016,23:33:14,foreigner,female,thin,yes,toddler,small,orange,casual,blue,long sleeve,blue,short,blankets,yes,60,3,9,41,2,11,3.068419405,101.6902828,3
3726,02/01/2016,5:52:18,malay,male,thin,yes,toddler,big,black,formal,green,short_sleeve,black,short,clothes,yes,44,6,7,20,5,9,2.922173465,101.7419733,2
